calendar_year_month,sku,sales_usd,sales_qty,calendar_date
201601,10491-0,1447120.47,6066,2016-01-01
201601,10493-0,293742.74,1144,2016-01-01
201601,11464-0,3074783.88,25753,2016-01-01
201601,11499-0,1140047.68,7540,2016-01-01
201601,2967-BR1,30702.0,336,2016-01-01
201601,3073-NA,236567.42,2750,2016-01-01
201601,3946-0,164019.2,620,2016-01-01
201601,4008-0,117241.89,4459,2016-01-01
201601,4166-0,119472.39,1827,2016-01-01
201601,4167-0,83808.33,1238,2016-01-01
201601,4198-0,490075.93,6118,2016-01-01
201601,4199-0,2052424.84,21432,2016-01-01
201601,4309-0,894490.06,7157,2016-01-01
201601,4418-0,246345.49,3186,2016-01-01
201601,4421-0,237912.45,3279,2016-01-01
201601,4434-0,374967.3,2869,2016-01-01
201601,4467-0,706459.92,13247,2016-01-01
201601,4468-0,669730.31,12437,2016-01-01
201601,45989-0,1065231.34,6304,2016-01-01
201601,4636-0,622372.39,25996,2016-01-01
201601,4639-0,128928.71,5937,2016-01-01
201601,4647-0,91011.98,8737,2016-01-01
201601,4648-0,22927.58,2533,2016-01-01
201601,4694-0,244386.66,19372,2016-01-01
201601,4734-0,165092.7,7378,2016-01-01
201601,4774-0,469953.42,41404,2016-01-01
201601,4775-0,187219.87,17778,2016-01-01
201601,5172-0,308797.59,831,2016-01-01
201601,98993-0,555390.72,2377,2016-01-01
201601,98994-0,469466.10000000003,1970,2016-01-01
201601,99042-NA,42527.0,349,2016-01-01
201601,99517-LGR-1WA,881.93,1,2016-01-01
201601,99520-LGR-1WA,2696.3,4,2016-01-01
201601,99522-LG-1WA,5238.31,4,2016-01-01
201601,99524-LG-1WA,8212.69,7,2016-01-01
201601,99530-LGR-1WA,3668.9500000000003,5,2016-01-01
201601,99533-LGR-1WA,6539.599999999999,8,2016-01-01
201601,99535-LG-1WA,2350.32,2,2016-01-01
201601,99537-LG-1WA,2350.28,3,2016-01-01
201601,99541-R-1WA,882.08,2,2016-01-01
201601,99544-1WA,1523.4,2,2016-01-01
201601,99548-1WA,735.31,1,2016-01-01
201601,CB-CLW2026SS,126125.09,1385,2016-01-01
201602,10491-0,1370914.42,5685,2016-02-01
201602,10493-0,239863.96,930,2016-02-01
201602,11464-0,2722591.26,21876,2016-02-01
201602,11499-0,2462532.89,16220,2016-02-01
201602,2967-BR1,27825.21,277,2016-02-01
201602,3073-NA,299979.85,3469,2016-02-01
201602,3946-0,224016.02000000002,841,2016-02-01
201602,4008-0,98269.83,4031,2016-02-01
201602,4166-0,161831.31,2489,2016-02-01
201602,4167-0,91886.12,1348,2016-02-01
201602,4198-0,665400.3,8005,2016-02-01
201602,4199-0,1986354.16,20101,2016-02-01
201602,4309-0,1012343.59,8039,2016-02-01
201602,4418-0,289348.55,3669,2016-02-01
201602,4421-0,283948.12,3854,2016-02-01
201602,4434-0,464987.76,3540,2016-02-01
201602,4467-0,761941.12,14214,2016-02-01
201602,4468-0,697102.78,12964,2016-02-01
201602,45989-0,1154977.72,7024,2016-02-01
201602,4636-0,648681.02,26834,2016-02-01
201602,4639-0,72200.58,3296,2016-02-01
201602,4647-0,69982.18,6624,2016-02-01
